구간,시간,2025.08.31,2025.08.30,2025.08.29,2025.08.28,2025.08.27,2025.08.26,2025.08.25,2025.08.24,2025.08.23,2025.08.22,2025.08.21,2025.08.20,2025.08.19,2025.08.18,2025.08.17,2025.08.16,2025.08.15,2025.08.14,2025.08.13,2025.08.12,2025.08.11,2025.08.10,2025.08.09,2025.08.08,2025.08.07,2025.08.06,2025.08.05,2025.08.04,2025.08.03,2025.08.02,2025.08.01
수원신갈IC→기흥IC,00시,105.99 km/h,97.46 km/h,103.21 km/h,104.93 km/h,102.04 km/h,86.63 km/h,106.19 km/h,106.80 km/h,103.49 km/h,103.08 km/h,101.56 km/h,104.01 km/h,102.47 km/h,106.44 km/h,107.97 km/h,105.57 km/h,106.55 km/h,102.67 km/h,104.59 km/h,101.77 km/h,104.96 km/h,109.00 km/h,103.10 km/h,104.83 km/h,105.06 km/h,104.49 km/h,103.20 km/h,96.92 km/h,110.14 km/h,104.99 km/h,106.70 km/h
수원신갈IC→기흥IC,01시,109.17 km/h,98.58 km/h,100.68 km/h,101.65 km/h,100.43 km/h,91.13 km/h,104.58 km/h,108.49 km/h,103.38 km/h,101.60 km/h,101.19 km/h,99.50 km/h,98.38 km/h,108.11 km/h,108.01 km/h,104.51 km/h,106.37 km/h,96.69 km/h,103.81 km/h,101.20 km/h,103.28 km/h,111.67 km/h,104.95 km/h,101.23 km/h,102.86 km/h,100.34 km/h,105.24 km/h,98.60 km/h,112.62 km/h,108.39 km/h,105.30 km/h
수원신갈IC→기흥IC,02시,109.61 km/h,99.64 km/h,100.45 km/h,99.57 km/h,99.29 km/h,94.02 km/h,104.34 km/h,110.33 km/h,103.63 km/h,100.29 km/h,99.60 km/h,94.73 km/h,98.54 km/h,102.50 km/h,109.21 km/h,103.43 km/h,105.83 km/h,89.81 km/h,101.02 km/h,98.61 km/h,104.37 km/h,110.75 km/h,108.93 km/h,99.57 km/h,104.67 km/h,93.73 km/h,101.76 km/h,99.22 km/h,111.67 km/h,106.12 km/h,105.15 km/h
수원신갈IC→기흥IC,03시,107.99 km/h,96.64 km/h,98.98 km/h,98.48 km/h,97.32 km/h,88.04 km/h,102.29 km/h,110.76 km/h,101.97 km/h,99.93 km/h,98.35 km/h,96.19 km/h,97.67 km/h,102.95 km/h,108.25 km/h,102.22 km/h,102.91 km/h,93.24 km/h,94.52 km/h,100.62 km/h,99.85 km/h,110.20 km/h,102.56 km/h,100.26 km/h,99.11 km/h,95.74 km/h,103.43 km/h,99.49 km/h,111.89 km/h,106.44 km/h,104.08 km/h
수원신갈IC→기흥IC,04시,107.05 km/h,98.71 km/h,97.82 km/h,98.75 km/h,99.05 km/h,89.84 km/h,103.67 km/h,109.17 km/h,102.98 km/h,100.54 km/h,99.79 km/h,98.67 km/h,99.79 km/h,104.27 km/h,106.49 km/h,102.21 km/h,101.45 km/h,93.88 km/h,86.07 km/h,97.91 km/h,103.60 km/h,108.54 km/h,102.87 km/h,98.18 km/h,101.61 km/h,99.88 km/h,103.18 km/h,101.83 km/h,109.16 km/h,105.46 km/h,103.17 km/h
수원신갈IC→기흥IC,05시,107.33 km/h,89.00 km/h,97.25 km/h,96.32 km/h,98.24 km/h,84.47 km/h,91.19 km/h,106.17 km/h,100.86 km/h,99.91 km/h,97.11 km/h,94.43 km/h,96.77 km/h,92.44 km/h,108.24 km/h,101.56 km/h,97.25 km/h,89.18 km/h,86.04 km/h,97.43 km/h,87.66 km/h,109.27 km/h,100.67 km/h,97.82 km/h,100.35 km/h,98.92 km/h,100.97 km/h,95.79 km/h,110.36 km/h,102.44 km/h,99.91 km/h
수원신갈IC→기흥IC,06시,107.60 km/h,83.78 km/h,91.10 km/h,90.12 km/h,92.95 km/h,83.00 km/h,66.65 km/h,106.54 km/h,97.73 km/h,94.52 km/h,91.79 km/h,88.21 km/h,89.62 km/h,57.90 km/h,109.38 km/h,100.08 km/h,56.51 km/h,79.87 km/h,85.99 km/h,89.68 km/h,38.85 km/h,107.70 km/h,98.72 km/h,95.63 km/h,94.58 km/h,95.02 km/h,96.60 km/h,86.05 km/h,108.82 km/h,100.41 km/h,94.50 km/h
수원신갈IC→기흥IC,07시,104.04 km/h,81.16 km/h,60.57 km/h,82.21 km/h,57.54 km/h,58.91 km/h,77.82 km/h,103.49 km/h,93.66 km/h,79.01 km/h,57.30 km/h,65.55 km/h,57.81 km/h,90.23 km/h,104.06 km/h,95.60 km/h,74.41 km/h,57.59 km/h,83.91 km/h,56.26 km/h,63.31 km/h,104.98 km/h,90.93 km/h,84.04 km/h,85.46 km/h,66.96 km/h,90.50 km/h,85.90 km/h,106.11 km/h,96.32 km/h,86.85 km/h
수원신갈IC→기흥IC,08시,101.66 km/h,76.57 km/h,78.00 km/h,76.20 km/h,72.35 km/h,77.94 km/h,82.62 km/h,102.12 km/h,92.86 km/h,49.42 km/h,63.86 km/h,48.34 km/h,63.01 km/h,92.47 km/h,101.89 km/h,94.83 km/h,85.86 km/h,66.12 km/h,65.05 km/h,60.85 km/h,90.66 km/h,103.61 km/h,88.57 km/h,85.74 km/h,87.51 km/h,70.87 km/h,91.19 km/h,91.73 km/h,103.00 km/h,100.04 km/h,89.06 km/h
수원신갈IC→기흥IC,09시,98.58 km/h,39.90 km/h,87.08 km/h,88.90 km/h,87.36 km/h,82.86 km/h,88.40 km/h,97.81 km/h,94.01 km/h,85.06 km/h,90.01 km/h,85.35 km/h,87.69 km/h,91.49 km/h,99.82 km/h,96.48 km/h,80.41 km/h,80.43 km/h,80.27 km/h,45.42 km/h,81.23 km/h,100.21 km/h,90.75 km/h,90.16 km/h,88.53 km/h,81.77 km/h,92.00 km/h,93.60 km/h,100.97 km/h,98.22 km/h,92.58 km/h
수원신갈IC→기흥IC,10시,90.96 km/h,88.22 km/h,84.46 km/h,90.20 km/h,88.14 km/h,80.17 km/h,86.69 km/h,96.61 km/h,87.97 km/h,86.31 km/h,86.95 km/h,82.79 km/h,86.64 km/h,85.96 km/h,94.79 km/h,89.15 km/h,33.01 km/h,86.04 km/h,88.56 km/h,77.56 km/h,85.15 km/h,95.24 km/h,93.42 km/h,84.67 km/h,86.39 km/h,87.44 km/h,88.50 km/h,91.27 km/h,99.07 km/h,95.09 km/h,87.85 km/h
수원신갈IC→기흥IC,11시,91.34 km/h,86.21 km/h,82.55 km/h,82.87 km/h,85.19 km/h,77.69 km/h,84.92 km/h,90.96 km/h,88.71 km/h,88.93 km/h,83.21 km/h,83.03 km/h,80.86 km/h,87.58 km/h,96.04 km/h,89.21 km/h,69.55 km/h,79.28 km/h,83.36 km/h,88.75 km/h,83.33 km/h,97.04 km/h,90.58 km/h,85.64 km/h,89.08 km/h,89.51 km/h,94.31 km/h,89.94 km/h,96.00 km/h,95.34 km/h,88.46 km/h
수원신갈IC→기흥IC,12시,90.15 km/h,88.88 km/h,84.64 km/h,86.95 km/h,87.35 km/h,86.24 km/h,86.28 km/h,95.23 km/h,90.04 km/h,85.66 km/h,88.63 km/h,87.68 km/h,83.58 km/h,87.18 km/h,96.35 km/h,90.26 km/h,95.06 km/h,80.00 km/h,86.18 km/h,87.10 km/h,86.33 km/h,97.77 km/h,90.57 km/h,89.31 km/h,83.42 km/h,89.97 km/h,91.15 km/h,89.69 km/h,95.18 km/h,93.17 km/h,90.22 km/h
수원신갈IC→기흥IC,13시,88.60 km/h,88.81 km/h,89.51 km/h,89.99 km/h,90.25 km/h,86.82 km/h,87.94 km/h,78.86 km/h,92.14 km/h,83.61 km/h,88.66 km/h,91.00 km/h,86.55 km/h,88.64 km/h,92.35 km/h,90.86 km/h,91.17 km/h,80.34 km/h,88.88 km/h,86.47 km/h,85.37 km/h,93.78 km/h,87.97 km/h,88.24 km/h,86.83 km/h,93.29 km/h,90.74 km/h,90.85 km/h,95.16 km/h,90.97 km/h,91.51 km/h
수원신갈IC→기흥IC,14시,70.10 km/h,65.45 km/h,84.75 km/h,88.60 km/h,88.19 km/h,45.33 km/h,87.55 km/h,89.88 km/h,92.95 km/h,83.90 km/h,89.05 km/h,87.94 km/h,85.35 km/h,90.04 km/h,90.66 km/h,88.58 km/h,90.49 km/h,82.36 km/h,86.31 km/h,88.57 km/h,89.68 km/h,91.64 km/h,86.59 km/h,88.13 km/h,86.29 km/h,86.54 km/h,91.33 km/h,91.60 km/h,91.58 km/h,93.98 km/h,90.55 km/h
수원신갈IC→기흥IC,15시,72.17 km/h,74.97 km/h,79.86 km/h,85.58 km/h,88.13 km/h,92.37 km/h,88.19 km/h,90.31 km/h,90.16 km/h,83.94 km/h,91.42 km/h,86.53 km/h,87.73 km/h,88.58 km/h,88.46 km/h,92.11 km/h,87.83 km/h,84.19 km/h,83.48 km/h,86.30 km/h,87.93 km/h,91.38 km/h,90.71 km/h,86.40 km/h,87.03 km/h,85.80 km/h,91.55 km/h,67.82 km/h,91.00 km/h,94.22 km/h,91.51 km/h
수원신갈IC→기흥IC,16시,87.19 km/h,88.52 km/h,86.20 km/h,78.95 km/h,86.46 km/h,90.71 km/h,87.82 km/h,92.28 km/h,86.54 km/h,85.07 km/h,89.58 km/h,85.96 km/h,90.62 km/h,87.57 km/h,88.80 km/h,93.37 km/h,91.41 km/h,89.87 km/h,85.43 km/h,90.67 km/h,88.38 km/h,91.49 km/h,90.97 km/h,55.50 km/h,85.82 km/h,88.96 km/h,91.59 km/h,91.79 km/h,90.01 km/h,92.46 km/h,90.46 km/h
수원신갈IC→기흥IC,17시,86.78 km/h,90.73 km/h,88.30 km/h,89.46 km/h,86.43 km/h,91.25 km/h,90.78 km/h,90.77 km/h,89.53 km/h,87.67 km/h,91.74 km/h,88.34 km/h,93.71 km/h,89.06 km/h,93.18 km/h,91.66 km/h,59.81 km/h,91.43 km/h,87.18 km/h,92.11 km/h,91.02 km/h,93.17 km/h,90.33 km/h,89.80 km/h,68.68 km/h,92.21 km/h,94.47 km/h,92.13 km/h,87.65 km/h,95.21 km/h,92.40 km/h
수원신갈IC→기흥IC,18시,90.07 km/h,87.70 km/h,86.57 km/h,89.91 km/h,89.37 km/h,89.38 km/h,91.73 km/h,90.14 km/h,87.67 km/h,89.06 km/h,93.09 km/h,88.92 km/h,91.46 km/h,89.32 km/h,93.12 km/h,91.98 km/h,94.79 km/h,89.39 km/h,82.34 km/h,91.18 km/h,92.31 km/h,94.60 km/h,91.61 km/h,85.82 km/h,87.38 km/h,91.85 km/h,93.89 km/h,92.15 km/h,94.35 km/h,95.71 km/h,93.08 km/h
수원신갈IC→기흥IC,19시,84.02 km/h,85.45 km/h,83.70 km/h,85.69 km/h,85.79 km/h,85.33 km/h,89.27 km/h,94.73 km/h,87.26 km/h,85.98 km/h,92.77 km/h,91.14 km/h,88.40 km/h,87.61 km/h,89.60 km/h,94.50 km/h,96.09 km/h,85.85 km/h,75.88 km/h,88.80 km/h,89.38 km/h,92.19 km/h,96.24 km/h,87.54 km/h,86.00 km/h,94.21 km/h,91.76 km/h,91.90 km/h,91.31 km/h,97.85 km/h,92.73 km/h
수원신갈IC→기흥IC,20시,86.20 km/h,89.23 km/h,81.55 km/h,87.78 km/h,89.98 km/h,89.49 km/h,90.07 km/h,87.73 km/h,93.10 km/h,83.55 km/h,90.02 km/h,93.58 km/h,92.36 km/h,91.38 km/h,86.97 km/h,92.53 km/h,93.06 km/h,81.04 km/h,81.71 km/h,88.64 km/h,91.53 km/h,71.05 km/h,93.94 km/h,86.28 km/h,88.52 km/h,95.86 km/h,93.21 km/h,97.49 km/h,88.77 km/h,93.83 km/h,88.71 km/h
수원신갈IC→기흥IC,21시,89.90 km/h,94.94 km/h,93.46 km/h,95.03 km/h,97.08 km/h,97.53 km/h,98.30 km/h,95.62 km/h,99.40 km/h,95.81 km/h,97.79 km/h,97.66 km/h,98.35 km/h,100.04 km/h,93.61 km/h,97.41 km/h,98.38 km/h,91.78 km/h,91.77 km/h,99.19 km/h,98.04 km/h,82.50 km/h,98.24 km/h,96.07 km/h,96.97 km/h,99.59 km/h,99.21 km/h,100.73 km/h,95.02 km/h,99.76 km/h,99.34 km/h
수원신갈IC→기흥IC,22시,94.34 km/h,95.91 km/h,96.53 km/h,99.26 km/h,98.63 km/h,99.09 km/h,100.82 km/h,99.69 km/h,98.07 km/h,98.58 km/h,99.79 km/h,99.77 km/h,100.37 km/h,102.21 km/h,98.42 km/h,98.92 km/h,98.87 km/h,95.75 km/h,98.05 km/h,99.98 km/h,100.26 km/h,97.35 km/h,102.15 km/h,98.02 km/h,98.62 km/h,102.29 km/h,102.14 km/h,103.05 km/h,87.59 km/h,98.79 km/h,99.83 km/h
수원신갈IC→기흥IC,23시,101.21 km/h,101.64 km/h,98.11 km/h,99.79 km/h,100.75 km/h,101.39 km/h,88.26 km/h,106.75 km/h,103.50 km/h,100.21 km/h,102.50 km/h,102.35 km/h,104.10 km/h,100.77 km/h,105.24 km/h,104.12 km/h,100.63 km/h,100.42 km/h,101.15 km/h,103.23 km/h,102.14 km/h,103.12 km/h,107.32 km/h,100.55 km/h,101.98 km/h,104.35 km/h,103.49 km/h,104.62 km/h,89.64 km/h,105.55 km/h,103.24 km/h
